loan_id,current_balance,interest_rate,payment_status,days_past_due,last_payment_date,document_status,servicer_name,last_updated_at
L-101323,147582.32,14.15,,,2026-04-25,,,2026-08-17
L-101324,84032.75,5.73,forbearance,0,2026-07-19,complete,Freedom Mortgage,2026-08-17
L-101325,288504.30,10.87,forbearance,0,2026-04-19,pending,Freedom Mortgage,2026-08-22
L-101326,460958.82,14.14,delinquent_60,45,2026-06-15,verified,Freedom Mortgage,2026-08-15
L-101327,47829.27,13.10,delinquent_60,62,2026-02-06,pending,Freedom Mortgage,2026-08-14
L-101328,52458.90,,,,2026-07-23,,Freedom Mortgage,2026-08-16
L-101329,399889.82,10.97,current,0,2026-07-05,missing,Freedom Mortgage,2026-08-13
L-101330,431560.11,12.34,delinquent_90+,95,2026-07-18,complete,Rocket Servicing,2026-08-16
L-101331,465857.19,2.82,forbearance,0,2026-03-25,pending,Rocket Servicing,2026-08-12
L-101332,396038.12,9.83,delinquent_90+,31,2026-04-05,verified,Freedom Mortgage,2026-08-02
L-101333,207212.88,,delinquent_60,,,missing,ServPro,2026-08-22
L-101334,21542.66,14.00,delinquent_90+,45,2026-03-13,complete,ServPro,2026-08-26
L-101335,187395.39,3.72,delinquent_90+,31,2026-03-11,pending,Apex Loan Servicing,2026-08-17
L-101336,235916.21,14.02,delinquent_90+,75,2026-01-10,verified,Rocket Servicing,2026-08-24
L-101337,291727.12,12.13,delinquent_90+,95,2026-06-25,verified,Rocket Servicing,2026-08-18
L-101338,58044.27,4.65,delinquent_90+,95,2026-07-28,complete,Freedom Mortgage,2026-08-01
L-101339,448734.11,9.58,delinquent_30,95,2026-08-14,complete,ServPro,2026-08-10
L-101340,145668.62,8.02,current,0,2026-06-09,verified,Rocket Servicing,2026-08-22
L-101341,262805.54,4.64,delinquent_60,75,2026-01-15,missing,Rocket Servicing,2026-08-21
L-101342,49921.97,11.28,forbearance,0,2026-07-08,pending,First National,2026-08-18
L-101343,305637.01,7.67,delinquent_60,62,2026-08-23,pending,Apex Loan Servicing,2026-08-19
L-101344,41354.67,6.97,delinquent_30,95,2026-02-13,complete,Rocket Servicing,2026-08-21
L-101345,205701.71,2.77,delinquent_60,120,2026-02-27,verified,First National,2026-08-26
L-101346,28194.83,9.38,,,2026-04-25,,ServPro,2026-08-09
L-101347,374696.76,5.82,current,0,2026-07-06,missing,Rocket Servicing,2026-08-01
L-101348,13891.50,7.47,delinquent_30,62,2026-05-15,missing,First National,2026-08-08
L-101349,343215.96,,,,2026-08-19,verified,,2026-08-21
L-101350,262192.51,8.21,forbearance,0,2026-01-11,missing,Rocket Servicing,2026-08-12
L-101351,77094.85,12.75,delinquent_90+,45,2026-03-22,verified,Rocket Servicing,2026-08-13
L-101352,149415.55,14.11,delinquent_90+,95,2026-06-03,pending,Apex Loan Servicing,2026-08-12
L-101353,219462.11,8.11,delinquent_30,95,2026-03-20,missing,Apex Loan Servicing,2026-08-14
L-101354,368346.57,11.52,delinquent_60,95,2026-08-08,verified,Apex Loan Servicing,2026-08-05
L-101355,455689.07,3.98,delinquent_90+,45,2026-04-04,missing,Freedom Mortgage,2026-08-06
L-101356,472581.79,14.25,forbearance,0,2026-07-12,pending,ServPro,2026-08-20
L-101357,257941.49,,delinquent_30,,2026-07-16,verified,,2026-08-10
L-101358,218491.56,13.59,delinquent_30,75,2026-05-01,missing,ServPro,2026-08-21
L-101359,467767.51,7.42,current,0,,,Apex Loan Servicing,2026-08-08
L-101360,123721.86,,forbearance,0,,,,2026-08-21
L-101361,48209.06,6.94,forbearance,0,2026-07-18,pending,Freedom Mortgage,2026-08-15
L-101362,420458.84,4.60,delinquent_30,62,2026-03-10,complete,First National,2026-08-07
L-101363,223116.64,10.70,delinquent_90+,45,2026-03-15,complete,Apex Loan Servicing,2026-08-27
L-101364,442074.01,4.41,delinquent_90+,120,2026-02-01,complete,ServPro,2026-08-17
L-101365,414530.26,3.34,delinquent_90+,62,2026-02-23,complete,ServPro,2026-08-16
L-101366,33398.48,12.24,current,0,2026-06-13,verified,ServPro,2026-08-26
L-101367,58097.27,4.53,delinquent_90+,,2026-06-05,,Freedom Mortgage,2026-08-26
L-101368,130641.16,6.46,current,0,2026-08-23,verified,Freedom Mortgage,2026-08-25
L-101369,337291.79,9.32,forbearance,,,complete,,2026-08-25
L-101370,344056.49,,,,,missing,Freedom Mortgage,2026-08-19
L-101371,230760.30,7.78,delinquent_60,45,2026-03-05,missing,ServPro,2026-08-09
L-101372,18302.23,5.04,delinquent_60,45,2026-01-09,missing,Apex Loan Servicing,2026-08-24
L-101373,250488.53,8.22,delinquent_30,62,2026-03-19,missing,Apex Loan Servicing,2026-08-12
L-101374,444889.09,10.28,forbearance,0,2026-08-06,verified,ServPro,2026-08-01
L-101375,35757.48,5.20,delinquent_30,45,2026-03-09,complete,Freedom Mortgage,2026-08-12
L-101376,275468.80,10.16,current,0,2026-04-24,pending,Rocket Servicing,2026-08-22
L-101377,274183.53,13.92,forbearance,0,2026-02-09,complete,First National,2026-08-15
L-101378,345755.65,4.63,,0,2026-05-18,,,2026-08-09
L-101379,113103.47,12.47,current,0,2026-03-17,missing,First National,2026-08-07
L-101380,281103.46,8.07,forbearance,0,2026-01-11,complete,Freedom Mortgage,2026-08-16
L-101381,9561.18,4.87,forbearance,0,2026-04-20,verified,Rocket Servicing,2026-08-19
L-101382,434869.70,11.14,delinquent_90+,120,2026-04-19,verified,First National,2026-08-09
L-101383,290643.22,8.41,delinquent_30,62,2026-08-17,missing,Rocket Servicing,2026-08-09
L-101384,123285.45,5.80,forbearance,0,2026-05-21,verified,First National,2026-08-25
L-101385,236600.71,6.33,forbearance,0,2026-08-16,pending,Freedom Mortgage,2026-08-03
L-101386,324663.69,3.63,delinquent_90+,62,2026-03-07,complete,Freedom Mortgage,2026-08-07
L-101387,150057.31,11.70,delinquent_90+,31,2026-05-20,pending,Apex Loan Servicing,2026-08-22
L-101388,409869.71,9.82,,0,,pending,Rocket Servicing,2026-08-17
L-101389,315408.05,11.96,delinquent_60,45,2026-05-16,missing,Rocket Servicing,2026-08-05
L-101390,350187.08,12.45,delinquent_60,75,2026-05-14,verified,ServPro,2026-08-01
L-101391,196938.53,14.12,delinquent_60,120,2026-03-15,missing,First National,2026-08-27
L-101392,104089.29,11.10,delinquent_60,62,2026-01-11,verified,ServPro,2026-08-11
L-101393,356033.06,12.07,forbearance,0,2026-08-28,missing,First National,2026-08-03
L-101394,454686.36,11.87,delinquent_90+,120,,,,2026-08-23
L-101395,138067.74,9.78,delinquent_90+,31,2026-02-02,missing,Rocket Servicing,2026-08-18
L-101396,443712.89,3.83,delinquent_30,120,2026-02-11,verified,Freedom Mortgage,2026-08-05
L-101397,277691.86,9.24,delinquent_90+,45,2026-06-19,missing,Apex Loan Servicing,2026-08-17
L-101398,332545.81,4.19,current,0,2026-06-28,missing,ServPro,2026-08-24
L-101399,92466.51,8.12,delinquent_90+,62,2026-06-07,missing,Rocket Servicing,2026-08-20
L-101400,15990.70,3.93,delinquent_90+,75,2026-07-26,verified,First National,2026-08-27
L-101401,438666.55,8.65,current,0,2026-07-02,missing,Apex Loan Servicing,2026-08-16
L-101402,467758.08,,current,0,2026-03-26,,,2026-08-17
L-101403,46671.87,13.57,forbearance,0,2026-04-25,complete,ServPro,2026-08-27
L-101404,312723.94,6.58,,,2026-07-01,verified,,2026-08-19
L-101405,76485.09,,delinquent_30,95,,,,2026-08-22
L-101406,257873.03,10.34,delinquent_30,95,2026-06-23,pending,Freedom Mortgage,2026-08-25
L-101407,453635.00,,,0,2026-01-25,,Freedom Mortgage,2026-08-18
L-101408,37901.77,12.95,delinquent_30,120,2026-04-07,missing,Freedom Mortgage,2026-08-14
L-101409,115664.95,13.54,delinquent_60,31,2026-03-15,complete,ServPro,2026-08-01
L-101410,358372.63,11.38,delinquent_90+,31,2026-08-15,verified,Freedom Mortgage,2026-08-07
L-101411,285353.17,4.00,delinquent_30,95,2026-02-06,pending,First National,2026-08-16
L-101412,175235.42,14.44,delinquent_90+,45,2026-04-03,missing,ServPro,2026-08-09
L-101413,453826.00,2.69,delinquent_90+,75,2026-07-28,complete,Rocket Servicing,2026-08-12
L-101414,402353.95,7.71,delinquent_60,45,2026-02-21,verified,ServPro,2026-08-01
L-101415,135490.16,10.27,delinquent_60,31,2026-03-28,pending,Freedom Mortgage,2026-08-19
L-101416,298338.64,4.18,delinquent_90+,31,2026-01-20,pending,Rocket Servicing,2026-08-12
L-101417,204138.60,4.60,forbearance,0,2026-03-24,pending,Rocket Servicing,2026-08-04
L-101418,19240.56,4.95,delinquent_90+,120,2026-06-27,missing,Apex Loan Servicing,2026-08-11
L-101419,367188.59,2.84,delinquent_90+,31,2026-03-14,complete,Apex Loan Servicing,2026-08-13
L-101420,85626.61,3.70,delinquent_60,45,2026-02-14,complete,First National,2026-08-16
L-101421,202161.50,13.28,delinquent_90+,45,2026-01-10,verified,ServPro,2026-08-09
L-101422,399767.44,,,,2026-04-05,,Freedom Mortgage,2026-08-17
L-101423,345702.33,,,0,2026-05-20,complete,Freedom Mortgage,2026-08-08
L-101424,322469.27,8.74,forbearance,,,,,2026-08-09
L-101425,67560.87,7.56,delinquent_30,95,2026-01-24,verified,First National,2026-08-26
L-101426,401805.07,,,0,2026-04-06,verified,Rocket Servicing,2026-08-01
L-101427,234826.31,6.63,forbearance,0,2026-07-15,pending,ServPro,2026-08-20
L-101428,428950.25,,delinquent_60,,2026-06-26,,ServPro,2026-08-25
L-101429,320042.83,10.52,delinquent_60,95,2026-05-03,missing,ServPro,2026-08-21
L-101430,150839.44,3.64,delinquent_90+,31,2026-02-18,missing,Freedom Mortgage,2026-08-12
L-101431,472548.06,3.50,forbearance,0,2026-03-13,pending,Freedom Mortgage,2026-08-27
L-101432,373557.90,4.88,delinquent_60,95,2026-03-19,complete,Apex Loan Servicing,2026-08-12
L-101433,334505.01,14.47,delinquent_30,62,2026-03-04,pending,Apex Loan Servicing,2026-08-08
L-101434,361774.49,4.32,forbearance,0,2026-07-28,pending,Rocket Servicing,2026-08-02
L-101435,455727.08,6.06,forbearance,0,2026-07-16,verified,Rocket Servicing,2026-08-05
L-101436,147496.77,3.40,forbearance,0,2026-05-07,complete,First National,2026-08-25
L-101437,73300.99,12.37,delinquent_30,75,2026-03-21,verified,ServPro,2026-08-19
L-101438,195684.25,,,,2026-03-07,verified,Freedom Mortgage,2026-08-22
L-101439,371537.56,,forbearance,,2026-08-08,verified,,2026-08-10
L-101440,262098.25,9.82,delinquent_30,31,2026-06-09,complete,ServPro,2026-08-27
L-101441,58597.85,8.10,forbearance,0,2026-03-23,verified,Rocket Servicing,2026-08-08
L-101442,47072.15,11.28,forbearance,0,2026-06-08,verified,ServPro,2026-08-14
L-101443,11139.90,11.74,delinquent_60,62,2026-06-14,missing,Rocket Servicing,2026-08-03
L-101444,235635.66,9.53,delinquent_30,95,2026-07-22,missing,First National,2026-08-25
L-101445,236734.43,9.78,forbearance,0,2026-07-20,verified,First National,2026-08-20
L-101446,324489.46,10.21,current,0,2026-02-04,pending,Rocket Servicing,2026-08-19
L-101447,205368.93,7.22,current,0,2026-06-21,verified,ServPro,2026-08-19
L-101448,22706.21,7.28,delinquent_90+,120,2026-01-07,pending,First National,2026-08-21
L-101449,51932.00,13.55,current,0,2026-08-28,missing,Rocket Servicing,2026-08-27
L-101450,172379.76,14.09,delinquent_60,75,2026-01-11,verified,Rocket Servicing,2026-08-25
L-101451,104455.98,11.75,forbearance,0,2026-06-24,verified,Rocket Servicing,2026-08-25
L-101452,406241.93,12.78,delinquent_60,62,2026-04-11,missing,First National,2026-08-24
L-101453,387801.31,9.96,delinquent_30,75,2026-04-09,verified,Rocket Servicing,2026-08-11
L-101454,363516.15,14.01,delinquent_60,31,2026-02-07,missing,Apex Loan Servicing,2026-08-23
L-101455,145696.75,9.22,delinquent_30,75,2026-02-07,complete,First National,2026-08-23
L-101456,421543.20,7.36,delinquent_60,45,2026-06-18,missing,ServPro,2026-08-05
L-101457,54222.36,13.97,delinquent_60,95,2026-02-11,pending,ServPro,2026-08-27
L-101458,214169.05,10.51,delinquent_60,31,2026-08-08,pending,Freedom Mortgage,2026-08-08
L-101459,74053.93,6.06,current,0,2026-08-27,verified,ServPro,2026-08-18
L-101460,274840.71,7.45,forbearance,0,2026-07-21,verified,Rocket Servicing,2026-08-23
L-101461,177885.24,12.12,delinquent_90+,62,2026-06-08,missing,Apex Loan Servicing,2026-08-12
L-101462,54783.62,6.36,delinquent_30,95,2026-03-04,verified,Apex Loan Servicing,2026-08-11
L-101463,113216.60,6.68,forbearance,0,2026-04-15,missing,Apex Loan Servicing,2026-08-27
L-101464,32334.24,8.47,delinquent_90+,31,2026-03-01,verified,Apex Loan Servicing,2026-08-21
L-101465,417099.15,4.27,delinquent_60,31,2026-05-19,missing,First National,2026-08-23
L-101466,209644.26,11.67,delinquent_30,75,2026-04-22,verified,Rocket Servicing,2026-08-18
L-101467,149714.01,5.29,forbearance,0,2026-07-05,missing,First National,2026-08-20
L-101468,97444.01,9.55,current,0,2026-02-17,verified,Freedom Mortgage,2026-08-24
L-101469,372523.75,14.38,delinquent_30,31,2026-08-24,complete,Rocket Servicing,2026-08-03
L-101470,91920.06,10.91,delinquent_90+,75,2026-07-23,verified,Freedom Mortgage,2026-08-11
L-101471,89270.20,7.66,delinquent_60,75,2026-02-06,missing,ServPro,2026-08-07
L-101472,253836.96,,,,2026-01-20,complete,,2026-08-18
L-101473,18135.44,4.52,forbearance,0,2026-01-01,missing,ServPro,2026-08-10
L-101474,272598.23,12.81,delinquent_30,45,2026-08-06,pending,Rocket Servicing,2026-08-04
L-101475,438491.95,9.70,forbearance,0,2026-03-15,pending,Apex Loan Servicing,2026-08-05
L-101476,216425.56,9.96,forbearance,0,2026-02-26,missing,Rocket Servicing,2026-08-04
L-101477,90697.96,8.72,current,0,2026-08-07,pending,Apex Loan Servicing,2026-08-11
L-101478,446088.07,9.08,delinquent_90+,75,2026-02-22,complete,Rocket Servicing,2026-08-08
L-101479,118739.39,12.31,delinquent_30,75,2026-01-12,complete,ServPro,2026-08-26
L-101480,318338.51,11.56,forbearance,0,2026-02-28,complete,Rocket Servicing,2026-08-17
L-101481,338547.81,8.76,forbearance,0,2026-04-10,missing,Freedom Mortgage,2026-08-15
L-101482,144155.60,10.02,delinquent_90+,75,2026-07-03,verified,First National,2026-08-16
L-101483,24775.46,9.82,delinquent_60,75,2026-05-25,complete,Apex Loan Servicing,2026-08-27
L-101484,150881.92,9.55,forbearance,0,2026-03-21,missing,First National,2026-08-18
L-101485,408379.88,7.12,delinquent_60,95,2026-01-27,verified,Apex Loan Servicing,2026-08-17
L-101486,328538.36,3.04,delinquent_30,31,2026-08-06,pending,Rocket Servicing,2026-08-03
L-101487,240255.72,9.35,forbearance,0,2026-01-02,verified,Freedom Mortgage,2026-08-23
L-101488,195930.40,13.35,delinquent_60,45,2026-07-27,pending,Rocket Servicing,2026-08-27
L-101489,342331.90,13.33,,,2026-05-07,,,2026-08-21
L-101490,134492.09,10.78,delinquent_90+,75,2026-07-09,pending,ServPro,2026-08-09
L-101491,302605.12,7.25,delinquent_90+,45,2026-04-03,complete,First National,2026-08-06
L-101492,237054.98,4.70,delinquent_60,45,2026-05-22,verified,Rocket Servicing,2026-08-18
L-101493,424912.62,,,,2026-02-18,,ServPro,2026-08-07
L-101494,113606.41,12.50,delinquent_30,31,,complete,,2026-08-08
L-101495,181178.40,11.36,delinquent_90+,95,2026-01-22,pending,Freedom Mortgage,2026-08-24
L-101496,275180.64,13.88,delinquent_60,62,2026-03-12,verified,Freedom Mortgage,2026-08-21
L-101497,317555.80,13.86,forbearance,0,2026-02-08,pending,Freedom Mortgage,2026-08-11
L-101498,418885.22,3.33,delinquent_30,95,2026-05-18,pending,Freedom Mortgage,2026-08-18
L-101499,31938.74,10.72,delinquent_90+,95,2026-01-20,pending,Rocket Servicing,2026-08-12
L-101500,274303.52,10.71,current,0,2026-07-01,complete,ServPro,2026-08-25
L-101501,367033.72,2.92,forbearance,0,2026-02-01,verified,Apex Loan Servicing,2026-08-21
L-101502,330664.74,7.14,delinquent_30,120,2026-08-20,missing,Rocket Servicing,2026-08-21
L-101503,441727.60,4.34,forbearance,0,2026-06-08,pending,Rocket Servicing,2026-08-21
L-101504,462443.85,7.16,delinquent_60,45,2026-06-24,complete,ServPro,2026-08-26
L-101505,262211.80,5.22,delinquent_90+,45,,missing,,2026-08-07
L-101506,205041.81,7.51,delinquent_90+,75,2026-07-15,missing,Rocket Servicing,2026-08-11
L-101507,68229.47,8.86,delinquent_30,45,2026-04-19,pending,Apex Loan Servicing,2026-08-12
L-101508,265397.62,11.67,delinquent_90+,62,2026-05-07,verified,Freedom Mortgage,2026-08-16
L-101509,267054.21,6.10,forbearance,0,2026-07-02,pending,Freedom Mortgage,2026-08-11
L-101510,16321.81,4.98,,0,,,Apex Loan Servicing,2026-08-22
L-101511,376382.98,4.87,,,2026-07-11,,,2026-08-15
L-101512,295854.33,11.32,,,,,First National,2026-08-22
L-101513,101428.36,2.76,current,0,2026-06-28,complete,Rocket Servicing,2026-08-12
L-101514,436891.66,,forbearance,,2026-08-16,missing,Freedom Mortgage,2026-08-10
L-101515,386109.57,4.42,delinquent_30,45,2026-07-04,verified,Freedom Mortgage,2026-08-18
L-101516,228044.65,14.30,delinquent_30,31,2026-03-15,complete,First National,2026-08-05
L-101517,229586.22,8.22,current,0,2026-06-15,pending,ServPro,2026-08-01
L-101518,454636.94,9.30,delinquent_60,31,2026-06-03,pending,Freedom Mortgage,2026-08-20
L-101519,191967.48,4.29,delinquent_30,120,2026-06-10,complete,Rocket Servicing,2026-08-20
L-101520,240006.20,9.96,forbearance,0,2026-07-06,missing,Rocket Servicing,2026-08-07
L-101521,471467.29,13.35,current,0,2026-08-11,pending,First National,2026-08-21
L-101522,134597.36,14.44,delinquent_90+,,,,First National,2026-08-11
L-101523,67058.68,14.24,forbearance,0,2026-01-24,complete,Rocket Servicing,2026-08-13
L-101524,133384.75,,delinquent_90+,62,,missing,,2026-08-26
L-101525,476985.21,7.59,delinquent_60,45,2026-06-24,missing,Apex Loan Servicing,2026-08-07
L-101526,131669.45,13.46,current,0,2026-06-28,complete,First National,2026-08-26
L-101527,35855.61,,,0,2026-04-25,complete,First National,2026-08-01
L-101528,354839.17,6.59,forbearance,0,2026-02-05,verified,Rocket Servicing,2026-08-26
L-101529,295968.46,3.17,delinquent_30,45,2026-02-06,complete,First National,2026-08-01
L-101530,330660.47,5.02,current,0,2026-07-11,pending,ServPro,2026-08-27
L-101531,326175.68,12.88,,0,,,First National,2026-08-15
L-101532,130049.26,,,0,2026-04-23,complete,First National,2026-08-07
L-101533,286346.40,9.72,,0,,missing,,2026-08-07
L-101534,396622.57,11.33,forbearance,0,2026-01-21,missing,Rocket Servicing,2026-08-25
L-101535,353134.24,,forbearance,0,,verified,First National,2026-08-22
L-101536,345152.11,2.64,current,0,2026-06-19,missing,Apex Loan Servicing,2026-08-22
L-101537,275370.54,11.23,delinquent_60,75,2026-06-24,verified,Rocket Servicing,2026-08-16
L-101538,237316.54,9.05,delinquent_30,45,2026-03-02,missing,ServPro,2026-08-15
L-101539,159074.69,12.06,delinquent_90+,75,2026-08-15,pending,Freedom Mortgage,2026-08-24
L-101540,204308.65,2.79,delinquent_30,62,2026-07-28,pending,ServPro,2026-08-12
L-101541,229336.91,10.44,delinquent_30,45,2026-03-07,complete,First National,2026-08-13
L-101542,149173.01,,forbearance,0,,missing,Freedom Mortgage,2026-08-07
L-101543,348771.37,7.69,delinquent_30,75,2026-01-12,complete,First National,2026-08-11
L-101544,293713.38,4.20,forbearance,0,2026-08-26,pending,ServPro,2026-08-16
L-101545,256577.44,4.40,delinquent_60,120,2026-07-20,complete,Apex Loan Servicing,2026-08-05
L-101546,182343.48,10.76,delinquent_30,62,2026-08-03,complete,ServPro,2026-08-12
L-101547,104491.59,6.41,delinquent_30,62,2026-08-26,missing,Apex Loan Servicing,2026-08-11
L-101548,162253.84,4.83,delinquent_30,62,2026-04-23,pending,Freedom Mortgage,2026-08-16
L-101549,428014.60,6.26,current,0,2026-07-25,pending,Apex Loan Servicing,2026-08-11
L-101550,72964.60,9.73,delinquent_60,31,2026-08-13,pending,Rocket Servicing,2026-08-23
L-101551,33035.10,5.46,current,0,2026-06-12,verified,Apex Loan Servicing,2026-08-05
L-101552,459417.12,8.32,delinquent_60,95,2026-04-27,pending,Apex Loan Servicing,2026-08-20
L-101553,205920.88,,,,2026-01-10,missing,,2026-08-07
L-101554,225846.25,,delinquent_30,75,,verified,Apex Loan Servicing,2026-08-06
L-101555,365269.24,3.79,delinquent_60,75,2026-05-07,verified,Rocket Servicing,2026-08-06
L-101556,158331.77,2.70,current,0,2026-06-18,verified,Rocket Servicing,2026-08-05
L-101557,347238.09,9.10,delinquent_90+,120,2026-06-13,pending,Rocket Servicing,2026-08-20
L-101558,21403.65,5.89,forbearance,0,2026-01-17,complete,Freedom Mortgage,2026-08-16
L-101559,176150.54,4.32,forbearance,0,2026-03-23,pending,First National,2026-08-25
L-101560,43550.39,6.62,current,0,2026-08-13,complete,Apex Loan Servicing,2026-08-14
L-101561,193095.33,4.36,current,0,2026-04-15,pending,First National,2026-08-25
L-101562,128858.48,5.37,forbearance,0,2026-01-02,pending,ServPro,2026-08-02
L-101563,247367.30,13.90,delinquent_30,95,2026-06-11,verified,ServPro,2026-08-01
L-101564,24061.76,9.58,delinquent_30,45,,verified,,2026-08-01
L-101565,43298.03,13.08,forbearance,0,2026-03-13,pending,Freedom Mortgage,2026-08-18
L-101566,100753.31,9.97,delinquent_60,95,2026-06-17,verified,Freedom Mortgage,2026-08-27
L-101567,163880.73,6.42,delinquent_60,75,2026-02-21,missing,ServPro,2026-08-01
L-101568,464674.02,10.56,delinquent_90+,45,2026-03-04,complete,ServPro,2026-08-26
L-101569,149101.04,4.97,forbearance,0,2026-05-27,pending,Apex Loan Servicing,2026-08-27
L-101570,312719.29,5.26,delinquent_60,45,2026-01-10,complete,Freedom Mortgage,2026-08-27
L-101571,222495.06,7.19,,0,,,Freedom Mortgage,2026-08-16
L-101572,288451.68,12.04,delinquent_30,31,2026-02-01,complete,Apex Loan Servicing,2026-08-02
L-101573,454723.88,13.66,delinquent_60,75,2026-07-24,pending,First National,2026-08-02
L-101574,311741.76,14.15,delinquent_60,31,2026-05-14,complete,Rocket Servicing,2026-08-25
L-101575,11813.42,4.20,delinquent_90+,45,2026-02-21,complete,ServPro,2026-08-06
L-101576,35059.83,12.94,forbearance,0,2026-05-09,complete,Apex Loan Servicing,2026-08-16
L-101577,107350.90,7.27,delinquent_90+,31,2026-01-16,verified,ServPro,2026-08-14
L-101578,460728.72,,delinquent_60,120,2026-05-24,,ServPro,2026-08-07
L-101579,16596.12,5.76,delinquent_30,45,2026-08-26,complete,First National,2026-08-19
L-101580,211788.64,13.93,delinquent_90+,45,2026-01-10,missing,First National,2026-08-20
L-101581,394839.25,9.04,delinquent_60,120,2026-06-24,pending,Rocket Servicing,2026-08-24
L-101582,198325.78,9.46,delinquent_60,75,2026-06-25,missing,Freedom Mortgage,2026-08-27
L-101583,427478.81,10.61,delinquent_90+,62,2026-07-03,missing,Freedom Mortgage,2026-08-11
L-101584,311595.47,7.91,forbearance,0,2026-03-02,missing,Apex Loan Servicing,2026-08-21
L-101585,381331.95,12.40,,0,2026-07-03,,,2026-08-27
L-101586,58142.98,8.52,current,0,2026-02-19,complete,Rocket Servicing,2026-08-18
L-101587,83233.40,5.22,delinquent_60,75,2026-02-11,missing,Apex Loan Servicing,2026-08-13
L-101588,394196.43,5.13,delinquent_60,120,2026-07-23,complete,Freedom Mortgage,2026-08-21
L-101589,78958.06,10.83,delinquent_30,120,2026-01-26,complete,ServPro,2026-08-05
L-101590,335095.26,6.18,delinquent_90+,62,2026-04-18,complete,Freedom Mortgage,2026-08-01
L-101591,453815.44,4.99,current,0,2026-02-09,verified,First National,2026-08-14
L-101592,10020.01,9.67,delinquent_60,75,2026-06-07,missing,ServPro,2026-08-20
L-101593,232258.76,9.88,current,0,2026-08-02,verified,Rocket Servicing,2026-08-12
L-101594,185484.47,12.83,delinquent_90+,95,2026-02-14,missing,ServPro,2026-08-01
L-101595,365548.50,3.54,delinquent_60,95,2026-02-03,pending,First National,2026-08-15
L-101596,165256.78,9.74,delinquent_90+,31,2026-06-10,verified,Freedom Mortgage,2026-08-20
L-101597,9889.63,4.04,current,0,2026-08-03,pending,ServPro,2026-08-09
L-101598,189384.60,13.60,current,0,2026-05-19,complete,Apex Loan Servicing,2026-08-16
L-101599,162422.41,,,,2026-02-22,pending,First National,2026-08-07
L-101600,123295.26,7.15,delinquent_30,75,2026-01-10,pending,Freedom Mortgage,2026-08-11
L-101601,282195.66,8.42,delinquent_90+,120,2026-02-04,pending,Freedom Mortgage,2026-08-05
L-101602,454669.40,9.25,delinquent_90+,75,2026-06-26,verified,First National,2026-08-23
L-101603,334560.74,10.12,current,0,2026-07-16,complete,Rocket Servicing,2026-08-14
L-101604,205571.24,3.28,delinquent_60,120,2026-06-16,verified,Apex Loan Servicing,2026-08-08
L-101605,420878.16,3.95,delinquent_30,31,2026-03-22,pending,ServPro,2026-08-22
L-101606,182325.51,5.66,current,0,2026-03-19,verified,First National,2026-08-18
L-101607,321307.82,6.10,delinquent_90+,31,2026-06-02,complete,First National,2026-08-17
L-101608,9207.31,13.06,delinquent_30,62,2026-04-28,verified,Freedom Mortgage,2026-08-07
L-101609,232180.83,5.07,delinquent_30,75,2026-02-05,pending,Apex Loan Servicing,2026-08-05
L-101610,37297.16,8.66,current,0,2026-03-08,verified,Rocket Servicing,2026-08-08
L-101611,198035.95,11.53,current,0,2026-06-25,verified,First National,2026-08-07
L-101612,447120.49,7.19,forbearance,0,2026-04-24,pending,ServPro,2026-08-20
L-101613,247034.96,7.38,delinquent_30,45,2026-05-16,complete,ServPro,2026-08-20
L-101614,225640.87,3.52,delinquent_30,120,2026-01-12,missing,ServPro,2026-08-09
L-101615,440627.61,6.14,forbearance,0,2026-06-10,verified,Apex Loan Servicing,2026-08-16
L-101616,418800.55,10.76,forbearance,0,2026-03-16,missing,First National,2026-08-23
L-101617,167644.76,8.70,current,0,2026-05-21,missing,Rocket Servicing,2026-08-10
L-101618,113225.06,13.62,delinquent_60,45,2026-04-12,missing,Freedom Mortgage,2026-08-27
L-101619,326147.55,5.84,forbearance,0,2026-07-22,pending,Apex Loan Servicing,2026-08-26
L-101620,157542.68,12.08,,,,pending,,2026-08-04
L-101621,421169.19,10.16,delinquent_30,95,2026-06-06,verified,Rocket Servicing,2026-08-08
L-101622,345594.69,13.69,delinquent_90+,95,2026-06-05,missing,Apex Loan Servicing,2026-08-03
L-101623,390695.81,,delinquent_60,75,,,ServPro,2026-08-18
L-101624,136618.54,9.31,delinquent_30,62,2026-01-14,verified,Apex Loan Servicing,2026-08-04
L-101625,188770.23,3.93,delinquent_30,31,2026-06-25,complete,First National,2026-08-03
L-101626,331194.03,,,,2026-04-02,,Apex Loan Servicing,2026-08-02
L-101627,291739.12,9.99,delinquent_60,62,2026-07-08,pending,Freedom Mortgage,2026-08-20
L-101628,445729.48,6.74,delinquent_30,45,2026-01-18,missing,Freedom Mortgage,2026-08-06
L-101629,396931.70,4.94,forbearance,0,2026-01-06,complete,Apex Loan Servicing,2026-08-24
L-101630,467690.86,12.21,current,0,2026-02-08,verified,Freedom Mortgage,2026-08-08
L-101631,83680.22,4.58,delinquent_30,62,2026-02-01,pending,Rocket Servicing,2026-08-14
L-101632,289865.26,7.14,delinquent_30,45,2026-02-28,complete,ServPro,2026-08-23
L-101633,76433.13,13.16,forbearance,0,2026-07-01,missing,Freedom Mortgage,2026-08-22
